msc | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.1 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=—,—/ | packages=
msi | PackageMissing | source=Ghisler Plugins | authority=OfficialTotalCommander | reported=1.2.1 | source statuses=ghisler-plugins:Success,totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=msi=unavailable (TaskCanceledException)
msword_wdx | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.1.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
nfoviewer | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
nscopy | SourceLagging | source=totalcmd.net index | authority=CommunityCatalog | reported=2.2 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=2.2.0.28/2.2.0.28 | packages=
ntfs4tc | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
ntfsstreamviewer | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.9.4 Beta | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
ntlinks | NeedsOfficialSource | source=totalcmd.net index | authority=CommunityCatalog | reported=1.6.1.294 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Verified | verified aliases=NTLinks.wdx | raw/local=—/ | packages=https://totalcmd.net/download.php?id=ntlinks=NTLinks.wdx
odbc-wlx | NeedsOfficialSource | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.6 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Verified | verified aliases=odbc-wlx.wlx | raw/local=—/ | packages=https://totalcmd.net/download.php?id=odbc-wlx=odbc-wlx.wlx
oilister | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=4.0.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=4.0.0.0/4.0.0.0 | packages=https://totalcmd.net/download.php?id=oilister=unavailable (TaskCanceledException);https://wincmd.ru/files/wlx64_uLister_4.0.0.zip=unavailable (TaskCanceledException)
pdfview | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.09 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=pdfview=unavailable (TaskCanceledException)
pgdump | PackageIdentityMismatch | source=totalcmd.net index | authority=CommunityCatalog | reported=2.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Ambiguous | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=pgdump=identity mismatch
pgdump_lister | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=2.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
pnginfo | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.1.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=pnginfo=unavailable (TaskCanceledException)
psdinfo | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
rarinfonew | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.2.1.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
recenttab | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.5.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
reghive | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=RegHive=unavailable (TaskCanceledException)
registry | PackageIdentityMismatch | source=Ghisler Plugins | authority=OfficialTotalCommander | reported=5.2 | source statuses=ghisler-plugins:Success,totalcmd.net:Success | package=Ambiguous | verified aliases=registry.wfx | raw/local=5.2.0.0,5.2.0.0/5.2.0.0 | packages=https://totalcmd.net/download.php?id=registry=registry.wfx;https://wincmd.ru/files/wfx_registry_5.2_x64.zip=identity mismatch
script-content | PackageMissing | source=totalcmd.net | authority=CommunityCatalog | reported=0.2.0.2 | source statuses=totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=script_wdx=unavailable (TaskCanceledException)
scrlist_1_0 | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=scrlist_1_0=unavailable (TaskCanceledException)
services | SourceLagging | source=totalcmd.net index | authority=CommunityCatalog | reported=2.4 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=2, 4, 0, 214/2, 4, 0, 214 | packages=
setfolderdate | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
sftp | VersionDisagreement | source=Ghisler Plugins | authority=OfficialTotalCommander | reported=3.10 | source statuses=ghisler-plugins:Success,totalcmd.net:Success | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
shelldetails | NeedsOfficialSource | source=totalcmd.net index | authority=CommunityCatalog | reported=1.26 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Verified | verified aliases=ShellDetails.wdx | raw/local=1.26,1.25,1.26/ | packages=https://totalcmd.net/download.php?id=shelldetails=ShellDetails.wdx
slister | NeedsOfficialSource | source=totalcmd.net index | authority=CommunityCatalog | reported=1.1.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Verified | verified aliases=slister.wlx | raw/local=1.1.2.0,1.1.2.0/1.1.2.0 | packages=https://totalcmd.net/download.php?id=slister=slister.wlx;https://wincmd.ru/files/wlx64_sLister_1.1.2.zip=unavailable (TaskCanceledException)
